importance,features
0.6863652,num__V14
0.19546297,num__V10
0.06555933,num__V2
0.008194051,num__V12
0.005041085,num__V1
0.0049627223,num__V27
0.0045418576,num__V16
0.0025896202,num__V7
0.0025878712,num__V4
0.0021431881,num__V17
0.0020354767,num__V8
0.0017577345,num__V28
0.0015013671,num__V21
0.00145821,num__V11
0.0014212609,num__V26
0.0013290595,num__Time
0.0012369318,num__V23
0.0011746847,num__V5
0.0011631617,num__V3
0.0011550123,num__Amount
0.0010967853,num__V18
0.001041689,num__V22
0.0009363624,num__V13
0.00082531426,num__V6
0.0007947911,num__V25
0.0007827126,num__V9
0.00077169103,num__V24
0.00076373736,num__V19
0.0006744346,num__V15
0.0006316427,num__V20
